movement_id,store_id,product_id,movement_datetime,movement_type,quantity_delta
82,12,233,2024-06-18 16:42:05,sale,-1
83,3,293,2025-02-05 06:07:28,sale,-5
84,2,160,2025-07-15 16:51:10,adjustment,-2
85,7,148,2024-04-16 09:26:09,adjustment,3
86,12,119,2025-06-10 18:47:52,inbound,42
87,6,188,2024-02-02 13:01:45,inbound,38
88,1,277,2024-10-18 16:08:15,inbound,34
89,2,65,2024-12-18 12:52:14,adjustment,-2
90,12,281,2025-06-19 18:20:13,inbound,29
91,11,265,2025-03-16 06:52:19,sale,-2
92,9,80,2025-06-16 17:21:45,return,3
93,1,142,2025-03-17 06:24:26,sale,-1
94,9,287,2024-03-07 09:54:13,sale,-1
95,7,257,2024-06-02 11:10:27,sale,-2
96,8,18,2025-03-23 11:12:20,sale,-4
97,11,270,2024-09-12 15:44:43,sale,-2
98,8,285,2024-03-22 11:43:37,inbound,48
99,1,246,2025-07-07 12:08:56,sale,-1
100,12,118,2025-01-14 01:14:41,sale,-4
101,12,148,2024-03-07 22:42:29,inbound,18
102,2,115,2024-12-20 12:16:05,sale,-3
103,6,10,2024-05-30 05:51:53,inbound,33
104,4,255,2024-09-17 02:33:47,inbound,14
105,1,107,2024-12-17 01:15:23,sale,-5
106,4,205,2024-09-18 11:50:29,sale,-5
107,7,137,2025-01-15 05:37:37,inbound,35
108,1,298,2025-04-29 10:16:09,inbound,13
109,12,290,2025-08-06 19:07:02,sale,-3
110,10,199,2024-03-30 05:36:35,inbound,22
111,11,151,2024-12-22 11:52:23,sale,-4
112,3,76,2024-12-26 22:43:51,sale,-1
113,12,153,2024-01-22 10:01:32,sale,-4
114,4,240,2024-10-21 15:47:26,adjustment,-2
115,8,257,2024-05-29 14:43:25,return,1
116,2,39,2024-08-04 04:45:49,sale,-3
117,8,272,2025-07-05 08:53:51,adjustment,-2
118,8,10,2025-05-07 05:33:22,sale,-4
119,8,224,2024-11-07 03:15:02,inbound,49
120,3,87,2024-12-19 09:11:32,inbound,24
121,8,213,2025-01-06 01:23:38,inbound,26
122,5,7,2024-04-25 23:32:24,return,1
123,8,272,2025-04-17 11:46:24,inbound,11
124,7,56,2024-11-18 10:20:54,sale,-4
125,3,2,2025-04-01 08:49:11,sale,-1
126,1,125,2024-04-02 14:45:37,inbound,49
127,5,70,2025-03-06 03:03:35,inbound,15
128,5,60,2024-03-23 16:34:51,inbound,40
129,3,240,2024-04-24 21:55:39,inbound,11
130,7,75,2025-04-06 08:06:41,sale,-5
131,9,226,2024-02-17 13:51:24,inbound,15
132,7,29,2025-05-22 07:54:21,return,1
133,6,276,2024-02-07 17:58:05,sale,-3
134,6,65,2025-03-27 10:35:22,inbound,48
135,10,202,2024-01-30 13:27:09,inbound,5
136,11,67,2025-05-16 11:09:23,sale,-2
137,10,6,2024-10-20 18:12:32,inbound,7
138,3,209,2025-01-07 22:13:37,sale,-1
139,12,55,2024-12-25 18:03:32,inbound,21
140,5,191,2024-10-24 17:18:09,sale,-2
141,12,225,2024-03-10 18:16:08,sale,-5
142,11,125,2024-02-27 18:23:09,inbound,34
143,10,193,2024-11-11 20:12:15,sale,-1
144,9,241,2025-04-11 08:30:59,inbound,19
145,5,283,2024-12-08 06:17:55,sale,-3
146,4,97,2024-01-27 04:35:36,inbound,14
147,3,241,2025-01-21 21:58:49,adjustment,1
148,9,291,2025-05-27 20:02:02,inbound,24
149,12,230,2024-05-14 08:14:00,inbound,43
150,8,27,2025-03-28 21:54:13,sale,-3
151,5,92,2024-12-17 03:43:02,inbound,37
152,1,182,2025-01-27 19:44:17,sale,-2
153,7,38,2024-12-23 15:22:23,sale,-1
154,5,125,2024-07-08 01:52:25,adjustment,-2
155,2,33,2024-01-28 17:10:46,inbound,46
156,5,180,2024-05-22 12:28:06,sale,-5
157,7,123,2024-04-25 22:59:08,inbound,43
158,1,189,2024-09-17 04:14:12,sale,-1
159,2,217,2025-03-02 00:41:41,sale,-1
160,12,295,2024-03-18 05:30:41,inbound,34
161,4,123,2025-07-16 02:22:39,inbound,39
162,9,114,2024-05-15 12:05:03,return,2
163,9,231,2025-08-03 15:30:10,inbound,32
164,5,21,2024-05-27 04:11:37,inbound,8
165,8,73,2024-08-27 07:54:20,sale,-1
166,4,145,2024-10-31 23:41:50,sale,-3
167,2,159,2025-01-08 07:32:56,sale,-1
168,3,202,2025-07-20 03:18:57,sale,-5
169,4,285,2025-02-11 07:38:27,inbound,43
170,10,92,2025-06-19 15:08:20,sale,-3
171,3,199,2024-06-29 11:11:08,inbound,24
172,11,129,2024-12-25 05:43:14,inbound,37
173,4,175,2025-02-06 01:22:13,sale,-5
174,4,206,2024-11-28 19:10:29,inbound,37
175,1,127,2024-11-04 08:24:37,return,1
176,12,212,2025-07-12 09:21:40,sale,-2
177,6,238,2024-10-13 15:26:11,sale,-5
178,1,193,2024-05-27 11:53:19,sale,-4
179,1,268,2024-12-04 01:00:18,sale,-5
180,10,111,2025-01-28 20:57:06,sale,-2
181,5,87,2024-12-26 22:15:00,sale,-2
182,8,64,2024-04-08 06:05:08,adjustment,-3
183,7,275,2024-12-11 03:36:08,return,1
184,11,132,2024-08-23 14:09:27,sale,-2
185,9,255,2025-05-01 06:20:24,sale,-4
186,9,252,2024-01-27 11:28:45,adjustment,0
187,2,248,2024-09-28 12:30:37,sale,-5
188,3,167,2024-02-03 03:30:46,return,2
189,10,176,2024-04-14 09:33:06,sale,-3
190,6,15,2024-09-25 05:37:54,inbound,41
191,1,93,2024-05-07 08:40:56,sale,-4
192,2,170,2024-02-17 10:49:35,sale,-2
193,1,22,2024-04-02 02:36:27,adjustment,-1
194,6,283,2024-06-29 07:08:45,inbound,22
195,1,287,2024-11-29 20:59:20,inbound,8
196,2,256,2024-03-05 22:01:00,sale,-4
197,8,240,2024-02-12 17:50:16,sale,-5
198,11,123,2024-03-03 00:01:15,inbound,7
199,3,261,2025-03-14 20:27:25,inbound,19
200,9,176,2024-05-01 01:35:46,sale,-3
201,4,8,2025-02-04 19:10:17,return,1
202,9,182,2024-11-23 09:26:27,inbound,44
203,10,24,2025-08-30 00:48:26,sale,-1
204,7,194,2024-10-21 16:25:21,inbound,21
205,8,8,2024-08-06 05:17:16,adjustment,-2
206,9,276,2025-08-17 23:30:37,sale,-1
207,8,230,2024-10-14 03:31:13,inbound,36
208,4,68,2024-04-24 05:56:47,inbound,45
209,12,281,2025-07-02 03:14:48,sale,-3
210,8,299,2025-06-21 20:05:29,sale,-3
211,8,276,2024-03-02 12:39:13,sale,-3
212,9,18,2024-01-16 11:20:40,sale,-4
213,5,219,2025-01-03 20:05:38,inbound,38
214,12,123,2024-08-22 12:11:19,sale,-2
215,11,250,2024-12-09 06:30:19,inbound,40
216,2,40,2024-03-18 02:41:38,return,1
217,4,101,2024-10-13 13:17:32,sale,-2
218,10,205,2024-01-26 13:17:13,sale,-3
219,3,62,2024-09-07 10:31:54,sale,-1
220,10,204,2025-04-03 19:58:46,sale,-2
221,11,205,2024-04-07 14:54:05,sale,-3
222,10,198,2025-07-05 20:01:43,sale,-1
223,9,133,2024-09-05 04:37:12,sale,-4
224,9,260,2025-02-22 18:27:14,inbound,31
225,3,253,2025-07-27 06:51:16,sale,-3
226,10,175,2024-01-04 10:55:26,inbound,19
227,10,184,2024-01-22 06:51:49,sale,-3
228,11,223,2025-03-12 22:09:07,sale,-4
229,11,64,2024-06-24 22:10:06,sale,-1
230,4,236,2025-05-03 02:09:41,return,1
231,5,109,2024-12-20 13:57:42,return,1
232,8,40,2024-05-12 19:22:19,return,3
233,8,24,2024-07-24 19:36:59,sale,-5
234,2,97,2024-12-19 15:20:35,inbound,24
235,8,85,2025-02-16 22:00:22,sale,-5
236,9,4,2025-07-13 09:02:49,sale,-1
237,2,259,2024-06-11 05:50:53,inbound,31
238,8,91,2024-07-18 06:40:28,sale,-1
239,1,93,2025-07-30 06:48:16,sale,-1
240,9,179,2024-07-22 16:21:30,sale,-5
241,4,281,2025-05-26 23:57:08,sale,-1
242,4,222,2024-06-21 20:56:47,inbound,35
243,10,300,2025-02-09 17:03:37,inbound,41
244,3,256,2025-05-25 00:19:51,sale,-5
245,2,269,2024-11-21 05:38:26,inbound,33
246,2,64,2025-08-21 16:02:14,inbound,17
247,4,107,2024-01-08 05:48:21,inbound,35
248,8,89,2024-01-04 20:38:34,sale,-4
249,5,273,2024-08-10 04:18:14,inbound,11
250,7,200,2024-02-07 18:37:49,sale,-4
251,6,204,2024-10-19 07:00:14,sale,-5
252,2,98,2024-02-21 02:46:35,sale,-1
253,2,205,2024-12-20 13:44:48,adjustment,2
254,11,60,2024-12-23 14:29:27,sale,-5
255,5,2,2025-06-21 06:43:59,return,1
256,6,33,2024-06-28 01:51:31,sale,-3
257,4,298,2024-07-05 17:56:31,adjustment,-1
258,6,233,2024-05-31 08:25:57,sale,-4
259,1,246,2025-06-10 00:28:50,adjustment,1
260,12,20,2025-01-02 01:32:51,inbound,10
261,5,256,2024-03-11 07:09:16,return,3
262,11,41,2025-05-25 11:21:11,sale,-3
263,11,95,2024-12-19 21:31:59,sale,-5
264,10,173,2024-06-19 21:10:57,sale,-1
265,2,254,2024-08-22 04:30:51,sale,-5
266,11,225,2025-05-09 04:35:52,inbound,32
267,9,56,2025-01-02 05:03:17,return,3
268,7,132,2025-03-25 22:00:33,inbound,25
269,4,70,2024-10-09 07:50:53,adjustment,-2
270,10,244,2025-02-10 18:53:22,sale,-5
271,1,137,2024-01-07 11:03:25,sale,-2
272,6,85,2024-10-09 19:19:18,return,3
273,1,43,2025-02-27 12:54:01,inbound,34
274,9,299,2025-05-28 02:52:32,sale,-5
275,3,232,2025-01-22 12:44:47,sale,-2
276,1,74,2025-06-22 16:31:13,sale,-5
277,6,283,2024-02-14 10:06:21,inbound,21
278,10,116,2025-01-18 04:50:39,sale,-3
279,12,175,2024-09-27 10:46:02,inbound,34
280,5,272,2024-01-12 00:28:48,sale,-5
281,2,193,2024-02-29 18:24:49,inbound,21
282,2,59,2024-04-22 23:18:28,sale,-4
283,8,284,2024-02-20 06:19:59,inbound,27
284,8,280,2024-03-31 04:44:42,sale,-3
285,1,244,2024-01-01 07:00:35,adjustment,3
286,4,173,2025-04-16 02:55:12,inbound,44
287,6,175,2024-09-08 23:06:27,adjustment,-2
288,1,129,2025-06-19 16:34:14,sale,-5
289,11,41,2025-01-07 15:23:57,adjustment,1
290,2,50,2024-01-14 16:11:54,sale,-3
291,12,143,2025-02-04 17:14:09,sale,-2
292,8,280,2025-03-15 21:15:25,sale,-3
293,6,5,2025-08-09 07:16:08,sale,-1
294,6,24,2024-04-09 22:11:34,inbound,46
295,1,293,2024-11-15 00:04:43,sale,-3
296,9,163,2024-10-10 12:29:08,inbound,24
297,12,132,2024-03-21 16:44:53,inbound,14
298,8,171,2024-08-08 17:52:30,inbound,37
299,11,59,2024-05-06 21:23:19,sale,-4
300,7,274,2024-01-18 20:25:37,inbound,10
301,8,126,2024-11-17 21:23:40,sale,-5
302,12,226,2024-11-09 15:50:05,inbound,37
303,2,3,2024-12-22 00:07:17,sale,-4
304,3,30,2024-03-25 07:14:54,sale,-5
305,9,124,2025-08-20 23:23:22,sale,-4
306,8,116,2024-12-08 00:04:32,sale,-2
307,2,163,2024-06-15 00:10:36,sale,-5
308,5,95,2024-06-16 16:47:49,sale,-2
309,4,80,2025-03-07 09:22:45,sale,-2
310,1,43,2025-08-21 14:53:48,adjustment,1
311,11,205,2025-04-20 15:32:23,sale,-5
312,11,168,2024-05-07 08:11:29,inbound,21
313,6,58,2025-05-27 00:20:43,inbound,11
314,10,152,2025-07-01 07:01:40,inbound,8
315,11,101,2024-06-09 08:00:41,return,1
316,5,287,2025-06-14 06:27:47,inbound,18
317,3,151,2025-01-26 10:44:27,inbound,22
318,9,95,2024-09-15 18:33:52,sale,-3
319,4,192,2024-07-27 13:39:34,inbound,10
320,10,221,2025-08-05 18:54:13,inbound,46
321,8,99,2024-08-07 18:56:00,inbound,20
322,6,224,2024-09-28 06:59:32,inbound,17
323,11,230,2024-10-19 15:29:23,sale,-3
324,11,73,2024-03-03 04:08:06,inbound,42
325,12,115,2025-02-15 23:02:17,inbound,10
326,4,176,2024-12-10 05:43:05,inbound,50
327,5,39,2024-02-09 13:53:56,sale,-2
328,6,251,2024-03-16 18:10:06,inbound,35
329,11,147,2024-06-30 14:55:40,return,1
330,1,222,2025-01-06 09:19:34,inbound,13
331,3,50,2024-11-04 17:25:52,sale,-2
332,11,34,2024-05-02 19:46:30,sale,-4
333,5,101,2024-06-13 16:51:55,sale,-5
334,4,232,2025-07-26 08:36:52,inbound,46
335,10,11,2025-08-22 10:36:43,sale,-4
336,5,85,2024-06-13 17:07:24,sale,-1
337,2,112,2024-12-29 12:39:58,sale,-2
338,1,247,2024-10-02 13:49:41,return,1
339,5,187,2024-05-31 03:33:02,return,3
340,7,176,2025-01-07 23:27:43,inbound,30
341,1,228,2025-06-02 12:19:51,sale,-3
342,12,46,2024-11-09 03:50:40,inbound,13
343,9,149,2025-02-03 01:57:21,sale,-5
344,3,274,2024-07-17 14:54:03,sale,-2
345,6,30,2025-04-28 14:07:04,sale,-4
346,11,171,2024-05-20 10:21:28,sale,-3
347,7,43,2024-04-30 17:03:57,inbound,14
348,2,159,2025-07-24 18:01:14,sale,-3
349,12,165,2025-01-28 00:49:00,sale,-1
350,3,84,2025-02-24 13:04:09,inbound,22
351,7,165,2024-07-18 18:48:32,sale,-1
352,3,268,2024-09-01 13:39:01,inbound,42
353,3,128,2025-08-16 00:04:44,inbound,11
354,6,78,2025-03-30 04:55:25,sale,-2
355,9,294,2024-11-22 12:40:55,inbound,29
356,8,279,2024-03-08 20:10:11,sale,-5
357,8,47,2024-10-26 22:38:04,sale,-4
358,8,203,2024-06-18 21:28:44,sale,-1
359,5,227,2025-04-17 10:48:44,return,1
360,3,183,2024-12-17 19:36:50,return,2
361,4,294,2024-03-02 14:08:06,inbound,49
362,5,13,2025-01-13 23:06:26,return,2
363,8,277,2024-12-13 20:37:23,inbound,17
364,12,236,2025-03-21 16:53:17,inbound,6
365,4,21,2025-04-26 07:02:50,adjustment,1
366,11,123,2024-11-24 14:46:04,inbound,5
367,11,134,2024-04-11 03:12:09,sale,-4
368,12,262,2024-01-23 20:58:26,sale,-4
369,4,95,2025-03-04 16:03:51,sale,-3
370,6,131,2024-07-12 18:35:04,adjustment,2
371,3,125,2024-07-19 20:01:29,sale,-3
372,11,240,2024-06-13 04:02:20,inbound,41
373,12,106,2024-03-12 03:14:45,sale,-5
374,6,60,2024-01-10 15:42:53,sale,-3
375,9,168,2024-09-21 20:13:10,sale,-4
376,3,66,2024-05-21 09:27:32,sale,-4
377,6,203,2025-01-03 11:59:17,sale,-3
378,8,224,2025-05-23 19:24:24,return,3
379,12,129,2024-10-22 01:12:49,sale,-2
380,5,121,2024-04-17 02:17:27,sale,-2
381,8,222,2025-08-12 14:37:03,sale,-1
382,2,29,2024-08-02 16:04:37,sale,-3
383,9,81,2024-08-16 04:35:53,sale,-4
384,6,121,2024-04-10 19:56:14,return,2
385,1,18,2024-02-16 08:14:39,adjustment,0
386,12,200,2025-07-15 03:44:40,inbound,5
387,5,72,2024-05-06 06:24:45,sale,-1
388,9,143,2024-02-18 11:00:26,sale,-3
389,9,12,2025-06-02 07:15:36,inbound,40
390,4,212,2025-05-15 05:19:42,inbound,5
391,1,224,2024-10-07 00:27:33,inbound,36
392,4,129,2025-02-22 15:02:22,sale,-4
393,12,299,2025-06-10 00:01:35,inbound,37
394,10,26,2024-07-25 02:52:24,adjustment,0
395,12,176,2024-05-01 18:14:15,sale,-4
396,6,43,2024-05-29 22:40:16,sale,-1
397,3,294,2024-06-05 02:28:22,inbound,13
398,12,20,2025-07-05 00:21:24,adjustment,-1
399,10,290,2024-02-10 17:07:33,inbound,7
400,1,61,2024-04-26 23:42:33,inbound,47
401,2,54,2024-10-09 12:42:08,inbound,7
402,12,97,2024-12-10 16:12:46,sale,-1
403,5,279,2024-11-23 15:35:43,sale,-4
404,4,123,2024-01-20 22:26:20,return,3
405,2,298,2024-08-27 18:03:15,sale,-2
406,2,25,2024-01-15 01:53:37,inbound,17
407,3,127,2024-10-20 20:00:46,sale,-5
408,2,217,2024-08-25 02:55:45,inbound,29
409,7,45,2024-10-29 17:05:26,inbound,25
410,10,143,2024-11-09 15:20:58,return,2
411,6,253,2025-01-26 01:01:31,sale,-2
412,11,127,2025-05-13 21:09:11,return,2
413,6,35,2024-09-03 13:48:48,sale,-3
414,9,262,2025-07-18 03:18:23,sale,-5
415,2,160,2024-05-14 19:23:44,inbound,16
416,8,249,2025-08-23 00:33:39,sale,-4
417,11,32,2025-02-12 11:43:42,sale,-1
418,8,2,2025-01-25 14:37:27,inbound,32
419,5,150,2025-03-12 10:13:39,adjustment,-2
420,11,41,2025-08-02 02:18:46,inbound,48
421,9,15,2024-08-14 02:04:59,sale,-3
422,10,248,2024-08-17 03:00:24,inbound,41
423,3,250,2024-03-06 18:08:39,return,1
424,2,68,2024-05-24 05:09:17,sale,-4
425,2,177,2025-08-22 18:06:34,return,2
426,7,162,2024-07-16 21:47:40,sale,-1
427,4,70,2024-05-21 07:38:21,inbound,10
428,6,199,2024-06-08 09:02:35,adjustment,-1
429,5,16,2025-08-07 20:12:55,adjustment,-3
430,1,297,2025-04-07 10:15:35,sale,-2
431,12,149,2024-10-23 22:32:06,sale,-5
432,6,196,2024-12-11 15:05:07,sale,-3
433,6,191,2025-04-18 21:37:43,adjustment,1
434,12,137,2025-01-06 14:42:52,sale,-1
435,7,286,2025-05-31 07:21:34,sale,-5
436,8,224,2025-07-10 08:21:09,sale,-1
437,10,242,2024-08-10 07:47:52,sale,-1
438,10,7,2025-01-13 16:12:08,inbound,16
439,7,7,2025-04-01 20:25:45,sale,-4
440,4,109,2025-05-02 15:55:57,sale,-3
441,8,246,2024-10-28 08:59:56,sale,-3
442,7,128,2024-01-02 11:52:26,adjustment,-1
443,9,103,2024-09-09 03:48:38,inbound,14
444,2,53,2025-03-24 17:01:39,sale,-4
445,1,247,2024-08-31 06:43:02,return,1
446,7,170,2024-02-15 08:48:30,inbound,31
447,2,110,2025-08-09 18:42:09,inbound,14
448,5,31,2024-07-17 06:42:37,sale,-3
449,1,263,2025-06-23 15:48:16,inbound,34
450,10,148,2024-11-13 17:45:26,inbound,26
451,6,156,2025-01-24 17:19:20,inbound,27
452,5,156,2025-02-01 05:09:52,sale,-1
453,12,28,2024-11-06 06:28:43,sale,-4
454,6,236,2025-03-14 16:16:26,inbound,40
455,1,103,2024-05-29 06:09:16,sale,-4
456,10,210,2025-05-02 03:23:37,inbound,30
457,1,229,2024-06-07 09:14:07,sale,-3
458,12,257,2024-04-01 10:08:01,inbound,15
459,11,43,2024-07-26 23:59:11,sale,-2
460,6,264,2024-06-23 17:48:03,adjustment,3
461,12,132,2024-10-24 01:59:34,sale,-5
462,1,140,2025-08-10 20:18:32,sale,-3
463,2,290,2024-09-10 13:42:29,inbound,18
464,2,172,2024-01-28 04:17:12,return,3
465,2,9,2024-12-19 03:41:43,sale,-4
466,4,274,2025-08-17 23:10:46,sale,-5
467,4,209,2024-04-13 03:28:38,adjustment,-1
468,6,234,2024-11-18 07:16:49,inbound,7
469,12,225,2025-02-13 12:42:35,sale,-1
470,9,256,2024-01-19 08:46:26,inbound,19
471,8,284,2024-12-26 12:06:43,inbound,6
472,10,192,2024-08-12 15:17:28,sale,-1
473,10,76,2025-08-19 13:03:49,sale,-3
474,6,231,2024-09-30 02:35:33,inbound,40
475,5,196,2025-05-13 02:15:58,sale,-2
476,6,172,2024-01-07 21:13:38,return,3
477,4,192,2025-07-19 13:34:49,sale,-3
478,9,207,2024-06-21 16:20:27,inbound,7
479,5,135,2025-06-29 00:13:02,inbound,41
480,11,66,2024-12-16 02:22:31,inbound,11
481,12,61,2024-10-15 12:15:20,inbound,23
482,7,134,2024-08-26 21:42:03,sale,-4
483,7,74,2024-11-10 06:26:39,return,3
484,12,255,2024-11-03 01:35:37,inbound,6
485,6,153,2025-08-13 07:53:27,inbound,9
486,4,233,2024-08-26 06:53:53,sale,-2
487,5,260,2025-06-09 23:40:15,adjustment,1
488,5,152,2025-06-22 21:07:52,sale,-4
489,2,45,2024-05-26 00:38:46,adjustment,-1
490,7,26,2024-07-26 20:57:34,inbound,13
491,4,35,2024-04-20 04:28:23,adjustment,-3
492,6,55,2024-03-09 03:50:34,inbound,16
493,3,286,2024-03-02 02:59:48,inbound,24
494,6,133,2024-03-03 02:55:24,inbound,38
495,6,122,2024-02-11 11:42:51,inbound,17
496,3,14,2025-06-12 02:23:40,adjustment,3
497,6,254,2025-02-26 02:59:07,inbound,23
498,2,270,2024-01-25 22:29:46,inbound,35
499,6,260,2024-06-08 18:52:25,sale,-4
500,8,258,2025-05-17 13:57:09,adjustment,-1
501,9,166,2025-01-04 09:28:55,inbound,27
502,1,176,2024-06-24 03:00:59,adjustment,1
503,12,298,2025-05-12 02:24:49,sale,-4
504,5,55,2025-05-21 03:43:33,adjustment,-2
505,6,95,2025-04-09 01:06:24,sale,-1
506,7,96,2024-04-24 03:08:57,inbound,20
507,5,21,2024-07-06 15:52:47,sale,-2
508,7,293,2024-01-10 13:43:02,inbound,40
509,7,35,2025-07-31 23:05:50,sale,-4
510,9,4,2024-06-02 09:46:49,sale,-2
511,12,264,2024-08-18 15:47:18,sale,-1
512,9,76,2024-04-15 01:41:10,sale,-5
513,7,168,2025-03-17 04:35:57,adjustment,1
514,1,167,2024-06-28 15:52:14,adjustment,-3
515,3,270,2025-05-18 13:43:52,sale,-2
516,1,22,2024-03-02 09:36:43,sale,-1
517,12,273,2024-04-15 04:14:28,sale,-2
518,5,143,2025-06-16 01:44:38,sale,-4
519,5,75,2025-04-04 03:15:33,inbound,30
520,3,144,2025-01-09 02:37:22,inbound,36
521,9,284,2024-01-24 21:46:58,sale,-4
522,10,271,2024-10-18 10:29:50,sale,-1
523,3,24,2025-05-30 04:50:03,sale,-3
524,11,71,2024-02-11 07:50:13,return,2
525,2,129,2024-04-20 08:23:03,inbound,34
526,5,2,2024-11-13 12:31:54,adjustment,-1
527,9,102,2024-07-30 23:43:31,sale,-1
528,4,205,2024-12-02 08:46:32,inbound,7
529,9,228,2025-04-25 07:59:46,sale,-1
530,8,171,2024-06-08 13:09:12,sale,-2
531,11,41,2024-03-06 17:54:18,inbound,36
532,5,96,2025-01-21 09:36:44,sale,-3
533,12,96,2025-08-18 15:59:11,adjustment,1
534,12,11,2024-02-09 06:50:41,inbound,17
535,10,164,2024-07-08 09:03:57,inbound,6
536,10,141,2025-04-25 04:28:46,inbound,27
537,6,281,2025-01-27 23:12:09,sale,-5
538,12,225,2025-01-05 01:51:07,inbound,19
539,8,103,2024-06-05 20:28:07,sale,-1
540,1,44,2024-08-10 04:40:18,sale,-3
541,2,17,2024-11-08 07:53:31,sale,-1
542,2,224,2025-06-23 07:15:19,sale,-5
543,9,12,2024-12-18 07:57:12,sale,-1
544,10,84,2024-10-31 21:15:34,sale,-2
545,12,283,2024-03-18 01:59:12,inbound,18
546,3,87,2024-06-01 04:53:30,sale,-4
547,8,232,2025-05-23 05:54:18,sale,-1
548,9,274,2025-08-05 10:04:04,sale,-4
549,12,167,2024-05-30 12:24:51,inbound,50
550,5,225,2024-02-08 07:06:15,adjustment,-3
551,5,230,2024-02-03 18:52:15,inbound,37
552,4,120,2025-02-02 01:46:27,sale,-1
553,7,235,2024-11-15 19:42:06,sale,-5
554,12,271,2025-06-18 16:56:23,inbound,25
555,9,254,2024-11-07 23:16:26,sale,-5
556,9,142,2025-02-12 23:30:24,return,2
557,6,155,2024-04-07 14:09:30,sale,-1
