shipment_id,order_id,shipped_at,delivered_at,carrier,shipping_cost
50,50,2024-03-21 19:08:29,2024-03-24 19:08:29,XpressBees,27.47
51,51,2024-04-27 11:37:26,2024-04-28 11:37:26,BlueDart,149.64
52,52,2025-05-27 05:47:43,2025-06-02 05:47:43,EcomExpress,189.62
53,53,2025-01-16 22:52:25,2025-01-22 22:52:25,Delhivery,150.31
54,54,2024-04-07 04:20:28,2024-04-08 04:20:28,DTDC,109.46
55,55,2024-12-02 07:38:17,2024-12-09 07:38:17,XpressBees,146.81
56,56,2024-11-03 04:37:55,2024-11-06 04:37:55,XpressBees,135.49
57,57,2025-02-25 13:37:19,2025-03-04 13:37:19,Delhivery,181.15
58,58,2025-07-31 00:35:50,2025-08-07 00:35:50,Delhivery,31.88
59,59,2024-12-26 21:39:54,2024-12-29 21:39:54,BlueDart,29.8
60,60,2025-06-01 09:07:26,2025-06-04 09:07:26,EcomExpress,173.4
61,61,2025-02-12 23:37:34,2025-02-15 23:37:34,EcomExpress,57.69
62,62,2024-02-02 08:18:20,2024-02-06 08:18:20,EcomExpress,195.44
63,63,2024-01-13 10:10:07,2024-01-17 10:10:07,Delhivery,46.1
64,64,2024-02-12 12:25:18,2024-02-18 12:25:18,XpressBees,111.71
65,65,2024-10-07 17:53:16,2024-10-11 17:53:16,DTDC,144.78
66,66,2025-08-10 17:12:55,2025-08-15 17:12:55,BlueDart,184.58
67,67,2024-09-03 19:38:47,2024-09-07 19:38:47,BlueDart,28.29
68,68,2024-12-21 13:55:15,2024-12-23 13:55:15,BlueDart,32.68
69,69,2024-02-19 00:13:02,2024-02-25 00:13:02,XpressBees,111.73
70,70,2025-09-02 19:22:41,2025-09-05 19:22:41,XpressBees,109.1
71,71,2024-04-13 17:16:49,2024-04-18 17:16:49,XpressBees,173.41
72,72,2025-04-05 18:03:32,2025-04-07 18:03:32,Delhivery,151.35
73,73,2025-05-01 05:26:56,2025-05-07 05:26:56,BlueDart,178.98
74,74,2025-01-18 22:07:03,2025-01-21 22:07:03,XpressBees,193.21
75,75,2024-02-18 12:30:17,2024-02-25 12:30:17,EcomExpress,188.62
76,76,2024-06-18 09:02:24,2024-06-23 09:02:24,DTDC,133.95
77,77,2025-03-22 15:08:20,2025-03-29 15:08:20,EcomExpress,117.08
78,78,2024-01-10 10:15:13,2024-01-16 10:15:13,EcomExpress,65.42
79,79,2025-05-27 09:30:57,2025-05-30 09:30:57,XpressBees,186.1
80,80,2024-08-18 19:27:20,2024-08-23 19:27:20,Delhivery,62.23
81,81,2024-11-16 00:31:53,2024-11-21 00:31:53,Delhivery,103.23
82,82,2024-04-16 05:44:53,2024-04-22 05:44:53,Delhivery,156.48
83,83,2024-05-10 21:11:05,2024-05-11 21:11:05,XpressBees,147.66
84,84,2024-05-29 20:29:31,2024-05-30 20:29:31,DTDC,22.08
85,85,2024-09-10 19:22:35,2024-09-15 19:22:35,BlueDart,156.85
86,86,2025-08-21 21:19:10,2025-08-24 21:19:10,EcomExpress,90.26
87,87,2025-02-22 03:32:20,2025-02-23 03:32:20,DTDC,172.1
88,88,2024-02-23 16:54:40,2024-02-29 16:54:40,XpressBees,41.68
89,89,2024-11-10 08:30:14,2024-11-15 08:30:14,XpressBees,75.57
90,90,2025-03-28 16:46:47,2025-04-03 16:46:47,Delhivery,39.56
91,91,2025-01-03 18:19:44,2025-01-05 18:19:44,Delhivery,94.32
92,92,2024-07-28 01:21:14,2024-08-01 01:21:14,BlueDart,98.4
93,93,2024-08-13 13:05:55,2024-08-14 13:05:55,DTDC,87.43
94,94,2024-07-09 13:59:02,2024-07-16 13:59:02,XpressBees,185.09
95,95,2024-12-29 05:30:34,2025-01-05 05:30:34,Delhivery,143.17
96,96,2024-11-20 21:04:20,2024-11-27 21:04:20,DTDC,46.95
97,97,2024-08-08 10:46:14,2024-08-12 10:46:14,EcomExpress,125.49
98,98,2025-08-01 03:22:27,2025-08-05 03:22:27,Delhivery,37.3
99,99,2024-04-02 23:30:28,2024-04-09 23:30:28,XpressBees,112.69
100,100,2024-03-08 09:14:13,2024-03-15 09:14:13,DTDC,153.69
101,101,2025-03-17 08:57:21,2025-03-22 08:57:21,Delhivery,169.8
102,102,2024-02-11 03:03:34,2024-02-18 03:03:34,DTDC,73.07
103,103,2024-08-31 21:45:21,2024-09-04 21:45:21,EcomExpress,84.77
104,104,2025-06-18 09:57:18,2025-06-21 09:57:18,DTDC,80.55
105,105,2024-10-31 19:48:57,2024-11-04 19:48:57,Delhivery,34.55
106,106,2024-06-24 17:58:56,2024-06-26 17:58:56,BlueDart,116.98
107,107,2025-06-18 04:33:47,2025-06-24 04:33:47,EcomExpress,185.07
108,108,2025-08-24 14:46:34,2025-08-31 14:46:34,DTDC,176.05
109,109,2024-11-05 16:34:12,2024-11-06 16:34:12,EcomExpress,114.74
110,110,2024-01-15 10:48:37,2024-01-16 10:48:37,DTDC,161.19
111,111,2024-10-03 06:27:31,2024-10-06 06:27:31,BlueDart,150.63
112,112,2024-03-29 05:46:13,2024-03-31 05:46:13,EcomExpress,27.85
113,113,2024-04-26 02:36:15,2024-04-27 02:36:15,EcomExpress,154.55
114,114,2024-12-12 18:00:56,2024-12-16 18:00:56,XpressBees,24.52
115,115,2024-06-21 03:28:29,2024-06-23 03:28:29,BlueDart,87.06
116,116,2025-08-25 06:14:52,2025-08-30 06:14:52,BlueDart,158.4
117,117,2025-06-01 17:48:01,2025-06-06 17:48:01,DTDC,156.17
118,118,2024-05-12 21:25:01,2024-05-16 21:25:01,DTDC,172.94
119,119,2024-01-12 07:54:34,2024-01-18 07:54:34,DTDC,146.21
120,120,2024-11-22 11:07:15,2024-11-29 11:07:15,XpressBees,174.77
121,121,2025-07-04 03:54:32,2025-07-11 03:54:32,Delhivery,49.27
122,122,2024-08-09 22:29:13,2024-08-10 22:29:13,EcomExpress,126.72
123,123,2024-07-31 12:48:25,2024-08-07 12:48:25,BlueDart,31.72
124,124,2025-02-16 18:15:13,2025-02-17 18:15:13,BlueDart,35.07
125,125,2024-12-09 17:20:55,2024-12-15 17:20:55,EcomExpress,20.0
126,126,2024-10-27 14:42:15,2024-10-29 14:42:15,Delhivery,157.35
127,127,2025-08-21 15:36:11,2025-08-24 15:36:11,DTDC,39.63
128,128,2024-09-13 12:43:39,2024-09-19 12:43:39,EcomExpress,169.35
129,129,2025-05-12 05:29:01,2025-05-13 05:29:01,EcomExpress,77.28
130,130,2024-01-07 10:58:15,2024-01-08 10:58:15,DTDC,151.27
131,131,2024-03-11 22:43:26,2024-03-18 22:43:26,XpressBees,37.78
132,132,2024-07-30 10:34:55,2024-07-31 10:34:55,XpressBees,180.6
133,133,2025-01-21 03:02:12,2025-01-28 03:02:12,DTDC,75.65
134,134,2024-09-30 04:31:26,2024-10-03 04:31:26,EcomExpress,87.56
135,135,2024-09-23 21:17:29,2024-09-27 21:17:29,EcomExpress,24.83
136,136,2024-01-23 18:26:36,2024-01-30 18:26:36,DTDC,181.21
137,137,2024-06-27 05:32:34,2024-07-03 05:32:34,Delhivery,27.21
138,138,2024-11-25 11:07:54,2024-11-27 11:07:54,XpressBees,100.52
139,139,2025-04-09 04:54:31,2025-04-13 04:54:31,EcomExpress,181.68
140,140,2025-07-29 03:50:06,2025-08-03 03:50:06,XpressBees,82.15
141,141,2024-11-08 06:37:32,2024-11-12 06:37:32,DTDC,112.11
142,142,2025-04-29 14:41:47,2025-05-04 14:41:47,Delhivery,63.9
143,143,2024-10-21 15:28:00,2024-10-22 15:28:00,DTDC,83.02
144,144,2024-04-29 11:12:32,2024-05-02 11:12:32,XpressBees,183.96
145,145,2024-05-11 12:08:22,2024-05-16 12:08:22,BlueDart,103.96
146,146,2024-06-25 07:57:05,2024-06-26 07:57:05,BlueDart,28.97
147,147,2024-01-11 08:48:17,2024-01-14 08:48:17,EcomExpress,70.82
148,148,2025-08-05 06:10:17,2025-08-08 06:10:17,DTDC,137.01
149,149,2025-05-09 22:39:19,2025-05-10 22:39:19,DTDC,83.51
150,150,2025-04-21 00:37:46,2025-04-26 00:37:46,XpressBees,110.8
151,151,2025-02-24 06:11:11,2025-03-02 06:11:11,BlueDart,87.55
152,152,2024-10-25 00:16:53,2024-10-26 00:16:53,XpressBees,74.54
153,153,2024-04-20 17:53:39,2024-04-23 17:53:39,EcomExpress,111.76
154,154,2025-01-29 06:03:30,2025-02-01 06:03:30,Delhivery,138.66
155,155,2024-06-08 01:02:38,2024-06-13 01:02:38,XpressBees,193.26
156,156,2024-05-18 02:36:23,2024-05-23 02:36:23,EcomExpress,96.43
157,157,2025-04-25 15:38:20,2025-04-26 15:38:20,DTDC,128.63
158,158,2024-01-15 00:51:29,2024-01-21 00:51:29,EcomExpress,63.15
159,159,2025-04-08 05:10:05,2025-04-13 05:10:05,Delhivery,68.34
160,160,2025-06-05 15:56:04,2025-06-12 15:56:04,EcomExpress,57.48
161,161,2024-11-23 22:49:17,2024-11-30 22:49:17,EcomExpress,178.57
162,162,2024-06-23 17:51:04,2024-06-27 17:51:04,DTDC,100.1
163,163,2024-02-26 04:52:14,2024-02-27 04:52:14,DTDC,171.38
164,164,2025-01-04 04:05:41,2025-01-05 04:05:41,Delhivery,191.76
165,165,2024-05-29 23:58:59,2024-05-31 23:58:59,XpressBees,190.89
166,166,2024-07-04 12:39:01,2024-07-05 12:39:01,Delhivery,36.33
167,167,2024-04-09 07:59:08,2024-04-14 07:59:08,Delhivery,43.54
168,168,2025-07-26 00:43:08,2025-08-01 00:43:08,BlueDart,78.87
169,169,2024-12-25 03:24:02,2024-12-27 03:24:02,EcomExpress,47.19
170,170,2025-08-22 02:10:51,2025-08-25 02:10:51,Delhivery,44.38
171,171,2025-07-05 13:16:30,2025-07-10 13:16:30,EcomExpress,28.14
172,172,2025-03-10 04:13:29,2025-03-13 04:13:29,XpressBees,194.02
173,173,2024-11-16 14:16:01,2024-11-18 14:16:01,EcomExpress,136.81
174,174,2025-08-03 03:36:02,2025-08-05 03:36:02,Delhivery,40.01
175,175,2024-11-06 01:03:25,2024-11-09 01:03:25,XpressBees,155.69
176,176,2024-05-14 06:50:20,2024-05-16 06:50:20,DTDC,50.44
177,177,2025-04-06 01:32:10,2025-04-07 01:32:10,DTDC,54.81
178,178,2025-03-21 05:09:45,2025-03-24 05:09:45,BlueDart,70.97
179,179,2025-05-18 21:47:09,2025-05-19 21:47:09,EcomExpress,43.89
180,180,2024-01-03 01:01:01,2024-01-07 01:01:01,Delhivery,32.0
181,181,2024-09-02 18:07:39,2024-09-07 18:07:39,Delhivery,103.42
182,182,2024-05-05 08:07:25,2024-05-11 08:07:25,EcomExpress,195.53
183,183,2025-08-07 23:40:09,2025-08-10 23:40:09,Delhivery,152.26
184,184,2025-08-22 21:34:49,2025-08-25 21:34:49,Delhivery,148.51
185,185,2024-01-13 17:50:46,2024-01-16 17:50:46,DTDC,175.49
186,186,2025-03-15 15:16:24,2025-03-20 15:16:24,EcomExpress,50.64
187,187,2024-08-15 07:27:07,2024-08-20 07:27:07,XpressBees,97.71
188,188,2024-04-08 16:56:05,2024-04-12 16:56:05,EcomExpress,33.01
189,189,2024-09-22 10:32:09,2024-09-29 10:32:09,EcomExpress,177.53
190,190,2024-09-26 21:00:04,2024-09-29 21:00:04,EcomExpress,156.27
191,191,2024-01-31 14:20:24,2024-02-07 14:20:24,EcomExpress,108.06
192,192,2024-10-06 12:27:28,2024-10-10 12:27:28,DTDC,104.01
193,193,2024-01-17 04:45:49,2024-01-21 04:45:49,EcomExpress,131.5
194,194,2024-08-18 16:28:38,2024-08-20 16:28:38,Delhivery,136.16
195,195,2024-02-07 16:22:32,2024-02-09 16:22:32,EcomExpress,162.2
196,196,2024-08-24 11:40:12,2024-08-28 11:40:12,Delhivery,115.82
197,197,2024-01-22 00:18:05,2024-01-26 00:18:05,Delhivery,145.82
198,198,2024-12-07 03:35:07,2024-12-11 03:35:07,EcomExpress,197.43
199,199,2025-08-02 00:18:42,2025-08-09 00:18:42,XpressBees,132.0
200,200,2024-06-26 07:03:16,2024-07-01 07:03:16,DTDC,118.46
201,201,2025-06-22 04:29:05,2025-06-25 04:29:05,XpressBees,133.76
202,202,2024-05-14 18:47:59,2024-05-16 18:47:59,Delhivery,48.46
203,203,2024-09-27 17:45:23,2024-09-28 17:45:23,DTDC,102.7
204,204,2024-09-21 09:24:46,2024-09-26 09:24:46,BlueDart,68.67
205,205,2025-03-06 07:54:40,2025-03-10 07:54:40,EcomExpress,195.71
206,206,2024-08-31 00:23:31,2024-09-03 00:23:31,XpressBees,86.93
207,207,2024-06-01 08:15:22,2024-06-04 08:15:22,Delhivery,102.97
208,208,2024-06-24 05:20:48,2024-06-28 05:20:48,EcomExpress,157.54
209,209,2025-04-10 00:32:25,2025-04-16 00:32:25,BlueDart,40.95
210,210,2025-02-15 04:54:08,2025-02-20 04:54:08,Delhivery,106.79
211,211,2025-07-13 14:32:54,2025-07-14 14:32:54,BlueDart,163.53
212,212,2024-06-16 18:03:40,2024-06-23 18:03:40,XpressBees,37.07
213,213,2024-11-08 16:36:30,2024-11-14 16:36:30,Delhivery,141.93
214,214,2024-08-02 09:03:19,2024-08-07 09:03:19,Delhivery,159.8
215,215,2024-04-25 04:05:21,2024-05-01 04:05:21,XpressBees,149.97
216,216,2025-01-01 08:36:50,2025-01-07 08:36:50,EcomExpress,135.78
217,217,2024-04-02 03:06:42,2024-04-05 03:06:42,BlueDart,176.42
218,218,2025-06-30 04:29:15,2025-07-04 04:29:15,XpressBees,163.2
219,219,2025-08-27 09:32:55,2025-08-29 09:32:55,XpressBees,53.98
220,220,2024-10-14 18:51:26,2024-10-15 18:51:26,EcomExpress,72.49
221,221,2024-04-11 03:02:11,2024-04-14 03:02:11,BlueDart,177.22
222,222,2024-10-16 02:51:46,2024-10-22 02:51:46,BlueDart,136.72
223,223,2024-11-18 19:47:33,2024-11-25 19:47:33,EcomExpress,187.04
224,224,2025-06-01 12:03:03,2025-06-06 12:03:03,EcomExpress,139.65
225,225,2025-04-05 17:52:37,2025-04-06 17:52:37,DTDC,92.63
226,226,2024-02-06 00:13:19,2024-02-12 00:13:19,DTDC,47.75
227,227,2025-05-26 23:06:37,2025-05-31 23:06:37,DTDC,197.39
228,228,2024-04-17 20:48:24,2024-04-20 20:48:24,XpressBees,97.37
229,229,2024-02-22 23:32:16,2024-02-25 23:32:16,DTDC,21.71
230,230,2024-12-05 11:58:00,2024-12-07 11:58:00,DTDC,72.97
231,231,2024-12-11 16:10:45,2024-12-18 16:10:45,DTDC,67.34
232,232,2025-03-31 16:47:00,2025-04-03 16:47:00,DTDC,137.5
233,233,2024-08-20 14:07:26,2024-08-26 14:07:26,XpressBees,100.16
234,234,2025-04-27 04:08:57,2025-04-28 04:08:57,EcomExpress,78.36
235,235,2025-05-10 15:49:07,2025-05-15 15:49:07,EcomExpress,112.04
236,236,2025-03-06 17:55:06,2025-03-10 17:55:06,Delhivery,30.68
237,237,2025-07-16 11:50:22,2025-07-20 11:50:22,BlueDart,55.48
238,238,2024-09-22 21:55:18,2024-09-26 21:55:18,BlueDart,67.36
239,239,2024-06-17 03:25:37,2024-06-20 03:25:37,XpressBees,48.47
240,240,2024-12-26 14:16:25,2024-12-31 14:16:25,Delhivery,69.37
241,241,2025-03-26 19:44:07,2025-03-31 19:44:07,XpressBees,49.99
242,242,2024-05-28 02:20:03,2024-06-04 02:20:03,Delhivery,45.32
243,243,2024-03-16 00:30:59,2024-03-17 00:30:59,BlueDart,62.4
244,244,2024-06-13 09:54:13,2024-06-18 09:54:13,BlueDart,173.86
245,245,2024-05-24 09:34:54,2024-05-25 09:34:54,EcomExpress,100.02
246,246,2025-03-11 19:51:51,2025-03-13 19:51:51,DTDC,41.98
247,247,2024-04-14 11:58:04,2024-04-21 11:58:04,XpressBees,140.66
248,248,2024-10-25 12:45:50,2024-10-30 12:45:50,XpressBees,165.95
249,249,2024-11-17 17:05:05,2024-11-23 17:05:05,Delhivery,20.9
250,250,2025-03-08 08:49:09,2025-03-14 08:49:09,Delhivery,58.18
251,251,2024-11-24 15:15:35,2024-11-30 15:15:35,BlueDart,144.39
252,252,2025-07-17 02:57:28,2025-07-22 02:57:28,XpressBees,159.81
253,253,2025-01-16 18:31:32,2025-01-21 18:31:32,XpressBees,164.43
254,254,2025-04-20 05:14:46,2025-04-25 05:14:46,XpressBees,106.21
255,255,2025-01-16 08:27:49,2025-01-18 08:27:49,XpressBees,147.59
256,256,2024-01-31 14:13:03,2024-02-04 14:13:03,EcomExpress,43.74
257,257,2025-05-10 17:41:48,2025-05-14 17:41:48,EcomExpress,139.3
258,258,2024-11-25 09:14:33,2024-11-28 09:14:33,Delhivery,73.65
259,259,2025-05-31 10:45:29,2025-06-03 10:45:29,BlueDart,103.4
260,260,2024-09-25 12:43:33,2024-10-01 12:43:33,DTDC,126.98
261,261,2024-11-07 01:28:26,2024-11-14 01:28:26,DTDC,103.59
262,262,2024-08-02 04:30:04,2024-08-09 04:30:04,BlueDart,153.21
263,263,2025-07-16 12:30:26,2025-07-17 12:30:26,Delhivery,87.73
264,264,2025-06-04 15:38:03,2025-06-11 15:38:03,Delhivery,161.45
265,265,2025-06-21 12:37:43,2025-06-28 12:37:43,Delhivery,145.4
266,266,2024-09-25 00:22:50,2024-10-01 00:22:50,EcomExpress,45.43
267,267,2024-07-25 18:26:47,2024-07-27 18:26:47,Delhivery,154.87
268,268,2024-09-23 00:20:12,2024-09-26 00:20:12,XpressBees,110.74
269,269,2025-04-30 16:38:56,2025-05-04 16:38:56,BlueDart,198.13
270,270,2024-03-19 18:45:55,2024-03-24 18:45:55,DTDC,82.82
271,271,2025-05-07 06:55:25,2025-05-14 06:55:25,Delhivery,179.39
272,272,2024-07-02 05:41:09,2024-07-05 05:41:09,XpressBees,41.5
273,273,2025-05-19 13:38:07,2025-05-21 13:38:07,XpressBees,31.08
274,274,2025-07-11 11:07:18,2025-07-15 11:07:18,DTDC,33.26
275,275,2025-01-22 05:06:53,2025-01-27 05:06:53,XpressBees,155.59
276,276,2024-02-02 05:47:26,2024-02-08 05:47:26,DTDC,198.92
277,277,2024-09-29 05:43:25,2024-10-02 05:43:25,EcomExpress,181.64
278,278,2024-03-17 14:29:56,2024-03-18 14:29:56,XpressBees,118.07
279,279,2024-07-18 14:56:49,2024-07-24 14:56:49,BlueDart,116.87
280,280,2025-08-23 06:13:11,2025-08-29 06:13:11,DTDC,145.83
281,281,2025-08-17 07:54:07,2025-08-19 07:54:07,EcomExpress,189.29
282,282,2024-09-06 17:00:34,2024-09-11 17:00:34,EcomExpress,187.48
283,283,2024-03-04 05:56:22,2024-03-10 05:56:22,XpressBees,184.03
284,284,2024-08-16 23:38:14,2024-08-20 23:38:14,EcomExpress,57.26
285,285,2025-07-10 02:10:57,2025-07-15 02:10:57,BlueDart,33.5
286,286,2025-08-03 13:03:08,2025-08-04 13:03:08,Delhivery,117.84
287,287,2025-04-12 05:35:41,2025-04-18 05:35:41,DTDC,41.1
288,288,2025-08-25 11:01:28,2025-08-31 11:01:28,Delhivery,36.41
289,289,2025-03-06 23:31:23,2025-03-09 23:31:23,EcomExpress,139.16
290,290,2024-01-15 21:45:59,2024-01-18 21:45:59,Delhivery,109.42
291,291,2024-07-12 02:57:23,2024-07-13 02:57:23,BlueDart,101.49
292,292,2024-02-05 08:16:34,2024-02-11 08:16:34,DTDC,187.2
293,293,2024-07-17 07:13:11,2024-07-21 07:13:11,Delhivery,112.35
294,294,2025-01-22 20:51:21,2025-01-24 20:51:21,Delhivery,97.01
295,295,2024-10-21 10:50:45,2024-10-22 10:50:45,Delhivery,195.93
296,296,2025-07-24 17:18:44,2025-07-25 17:18:44,BlueDart,94.43
297,297,2024-06-17 09:54:15,2024-06-19 09:54:15,EcomExpress,143.85
298,298,2024-02-01 11:36:47,2024-02-07 11:36:47,XpressBees,26.14
299,299,2024-10-06 02:10:56,2024-10-11 02:10:56,XpressBees,110.82
300,300,2024-05-19 01:07:09,2024-05-25 01:07:09,EcomExpress,33.79
301,301,2024-11-14 18:23:17,2024-11-20 18:23:17,Delhivery,66.73
302,302,2024-04-08 18:13:57,2024-04-09 18:13:57,EcomExpress,113.66
303,303,2025-02-09 14:04:44,2025-02-11 14:04:44,XpressBees,177.02
304,304,2025-03-13 08:30:20,2025-03-17 08:30:20,BlueDart,72.68
305,305,2025-01-27 03:57:57,2025-02-01 03:57:57,XpressBees,166.45
306,306,2024-08-23 00:00:36,2024-08-29 00:00:36,EcomExpress,137.57
307,307,2024-05-22 08:03:12,2024-05-27 08:03:12,EcomExpress,27.97
308,308,2025-01-01 00:20:06,2025-01-08 00:20:06,Delhivery,76.5
309,309,2024-04-21 09:15:42,2024-04-22 09:15:42,XpressBees,56.99
310,310,2024-05-23 08:29:38,2024-05-24 08:29:38,DTDC,153.41
311,311,2024-04-07 16:34:15,2024-04-09 16:34:15,Delhivery,64.62
312,312,2025-07-06 03:37:11,2025-07-09 03:37:11,DTDC,92.69
313,313,2025-05-21 01:27:31,2025-05-27 01:27:31,BlueDart,52.62
314,314,2024-06-26 18:37:35,2024-07-01 18:37:35,Delhivery,90.65
315,315,2024-12-16 14:45:34,2024-12-20 14:45:34,DTDC,154.1
316,316,2025-06-01 11:47:33,2025-06-02 11:47:33,DTDC,173.56
317,317,2025-03-27 22:50:30,2025-04-02 22:50:30,Delhivery,130.95
318,318,2025-02-15 15:08:42,2025-02-21 15:08:42,DTDC,198.98
319,319,2024-11-23 23:23:05,2024-11-24 23:23:05,DTDC,147.8
320,320,2024-12-27 00:48:06,2025-01-02 00:48:06,DTDC,71.78
321,321,2024-11-06 14:11:35,2024-11-08 14:11:35,XpressBees,109.19
322,322,2024-01-18 02:54:10,2024-01-20 02:54:10,XpressBees,111.77
323,323,2025-08-14 05:38:00,2025-08-17 05:38:00,XpressBees,72.61
324,324,2025-04-01 01:08:26,2025-04-03 01:08:26,DTDC,46.1
325,325,2025-08-21 11:27:12,2025-08-26 11:27:12,Delhivery,198.67
326,326,2024-08-25 19:04:03,2024-08-26 19:04:03,DTDC,91.13
327,327,2025-07-08 19:11:08,2025-07-13 19:11:08,XpressBees,99.6
328,328,2024-01-09 22:02:26,2024-01-11 22:02:26,XpressBees,170.34
329,329,2024-02-11 10:25:17,2024-02-12 10:25:17,DTDC,158.74
330,330,2025-03-24 04:25:18,2025-03-28 04:25:18,Delhivery,147.21
331,331,2025-08-10 10:14:29,2025-08-15 10:14:29,Delhivery,117.78
332,332,2024-05-30 07:43:07,2024-06-01 07:43:07,BlueDart,43.11
333,333,2024-01-17 20:59:50,2024-01-19 20:59:50,DTDC,143.49
334,334,2024-05-24 06:45:06,2024-05-27 06:45:06,EcomExpress,175.14
335,335,2024-07-22 14:11:29,2024-07-26 14:11:29,BlueDart,61.59
336,336,2024-02-05 13:54:44,2024-02-09 13:54:44,EcomExpress,41.75
337,337,2025-03-16 02:30:20,2025-03-20 02:30:20,DTDC,65.0
338,338,2025-05-25 19:39:36,2025-05-26 19:39:36,DTDC,147.54
339,339,2025-07-31 07:28:19,2025-08-07 07:28:19,XpressBees,111.57
340,340,2024-10-06 11:27:49,2024-10-08 11:27:49,BlueDart,198.52
341,341,2025-04-07 18:48:00,2025-04-14 18:48:00,DTDC,69.13
342,342,2024-08-18 12:53:48,2024-08-19 12:53:48,DTDC,193.23
343,343,2024-07-21 16:27:46,2024-07-22 16:27:46,EcomExpress,161.14
344,344,2024-12-13 07:32:55,2024-12-20 07:32:55,XpressBees,136.78
345,345,2024-04-05 12:46:17,2024-04-08 12:46:17,DTDC,45.37
346,346,2024-08-16 15:34:04,2024-08-23 15:34:04,BlueDart,63.24
347,347,2024-04-10 09:14:29,2024-04-17 09:14:29,DTDC,74.55
348,348,2024-02-24 12:46:24,2024-03-02 12:46:24,XpressBees,126.65
